Institution,Researcher Name,Associated Facilities,Research Areas,Research Chairs/Grant Funding,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Alternative Fuels,Autonomy and AI,Batteries and Fuel Cells,Biocomposites,Coatings and Corrosion,Connected Vehicles,Control,Crashworthiness,Electronics,Forming and Joining,High Strength Steel,Hybrid and Electric Vehicles,Industrial Processes,Injury Prevention,Internal Combustion Engines,Lightweight Metals,Mechatronics,Nanotechnology,Networks and Security,"Noise, Vibration and Harshness",Polymers and Composite Materials,Powertrain,Sensors,Software,Stress and Fracture,Transportation and Charging,Vehicle Design
McMaster University,"Veldhuis, Stephen","McMaster Manufacturing Research Institute (MMRI)
Brockhouse Institute for Materials Research","High-performance manufacturing, precision machining, manufacturing processes modelling and simulation, nano-identification, surface engineering.",NSERC (Discovery Grants Program): Adaptive Surface Engineering of High Performance Manufacturing Tooling.,Industrial processes,Forming and joining,Nanotechnology,,,,,,,,,,,,x,,,x,,,,,x,,Err:507,,,,,,,
McMaster University,"Vlachopoulos, John",McMaster Manufacturing Research Institute (MMRI),"Polymer processing, rheology, extrusion, rotational molding, CAD/CAM methods.",,Polymers and composite materials,Forming and joining,Industrial processes,,,,,,,,,,,,x,,,x,,,,,,,Err:507,x,,,,,,
McMaster University,"Vrkljan, Brenda","School of Rehabilitation Science
Candrive",Driving and automotive infrastructure for aging populations.,"Ontario Research Fund - Infrastructure: Innovations In Automobile Design For An Aging Population.
No NSERC.",Transportation and charging,Injury Prevention,,,,,,,,,,,,,,,,,x,,,,,,Err:507,,,,,,x,
McMaster University,"Wassyng, Alan",McMaster Center for Software Certification,"Software design, security and certification for automotive applications.",Ontario Research Fund - Infrastructure: Laboratory Support for Model Driven Engineering of Software for Automotive Applications,Software,,,,,,,,,,,,,,,,,,,,,,,,Err:507,,,,x,,,
McMaster University,"Wilkinson, David",Brockhouse Institute for Materials Research,"Fracture behaviour of lightweight aluminum, magnesium, and high strength steel. Clean energy and fuel cells","NSERC (Discovery Grants Program): Deformation and Fracture of Lightweight Alloys.
Ontario Research Fund - Excellence: Initiative for Automotive Manufacturing Innovation (IAMI).",Lightweight metals,High strength steel,Stress and fracture,,,,,,,,,,,,,x,,,,,x,,,,Err:507,,,,,x,,
McMaster University,"Wu, Pei Dong",Unknown.,"Metal forming, cutting and removal, Plasticity & formability, Materials and microstructural engineering, Mechanics of engineering materials & composites.","NSERC (Discovery Grants Program): Constitutive modeling of large strain behaviour of magnesium alloys.
NSERC (Engage Grants Program): Development of Finite Element models for a Swaging process.",Forming and joining,Lightweight metals,,,,,,,,,,,,,x,,,,,,x,,,,Err:507,,,,,,,
McMaster University,"Yan, Fengjun",Powertrain Control Laboratory,"Control systems, hybrid vehicles, mechatronics, combustion, automotive applications, modeling estimation and control of combustion engines, powertrains, and HEVs.","NSERC (Collaborative Research and Development Grants): Design, optimization, and control on a novel diesel engine aftertreatment system with multi-chamber catalytic converter (MCCC).
NSERC (Discovery Grants Program): Advanced Control on Multi-Mode Combustion Diesel Engines during Transient Operations.",Control,Mechatronics,Hybrid and electric vehicles,Powertrain,Internal combustion engines,,,,,,,x,,,,,x,,,x,,x,,,Err:507,,x,,,,,
McMaster University,"Yang, Yinye","Magna Powertrain
Canadian Excellence Research Chair in Advanced Powertrain and Electric Vehicles","Transportation electrification, integrated hybrid electric vehicle powertrains, advanced electric machines, advanced machine drive techniques, integrated energy and power systems.",,Hybrid and electric vehicles,Powertrain,Electronics,,,,,,,,,,,x,,,x,,,,,,,,Err:507,,x,,,,,
McMaster University,"Zhitomirsky, Igor","Canadian Excellence Research Chair in Advanced Powertrain and Electric Vehicles
Green Auto Powertrain Project
Brockhouse Institute for Materials Research","Electrochemical nanotechnology, supercapacitors for hybrid vehicles, lead acid batteries, solid oxide fuel cells, solar cells, electronic devices.","NSERC (Discovery Grants Program): Advanced nanocomposite materials fabrication methods for efficient energy storage devices.
NSERC (Engage Grants Program): Advanced surface modification agents and modification technologies for powder metallurgy.
NSERC (Strategic Projects): Advanced flame retardant materials and fabrication methods.",Nanotechnology,Electronics,Hybrid and electric vehicles,Batteries and fuel cells,,,,x,,,,,,x,,,x,,,,,,x,,Err:507,,,,,,,
McMaster University,"Zurob, Hatem",McMaster Steel Research Centre,"Modelling atom clustering in automotive aluminum and magnesium alloys during natural aging, grain refinement of microalloyed steels by thermomechanical processing, ""steel-steel"" composites.","Ontario Research Fund - Infrastructure: Infrastructure for the Development and Characterization of Advanced Functionally Graded Materials
NSERC (Collaborative Research and Development Grants): Third-generation high-strength steels for automotive applications; optimization of microstructure and properties.
NSERC (Collaborative Research and Development Grants): Effect of quench rate on carbon distribution and brittle fracture in quench and tempered 300M steel.
NSERC (Engage Grants Program): Physically-based model for the tempering kinetics of medium carbon martensite.
NSERC (Collaborative Research and Development Grants): Design of V containing line-pipe grades for improved strength and weldability.
NSERC (Engage Grants Program): Design of novel steel chemistries for the production of high performance tubular goods.
NSERC (Discovery Grants Program): Microstructure Evolution and Mechanical Behaviour of Advance Structural Materials.",High strength steel,Lightweight metals,Forming and joining,,,,,,,,,,,,x,x,,,,,x,,,,Err:507,,,,,,,
Queen's University,"Anderson, Ron",,"Vehicle dynamics, multibody dynamics.",No NSERC. (Since 2008),Control,,,,,,,,,,,x,,,,,,,,,,,,,Err:507,,,,,,,
Queen's University,"Chan, Wai-Yip Geoffrey",Multimedia Coding and Communications Laboratory,Algorithms and methods for signal processing; machine learning techniques for applciations in human-computer interaction/communication; machine-machine communication; networking and Internet of Things.,,Connected vehicles,Networks and security,,,,,,,,,x,,,,,,,,,,,,,x,Err:507,,,,,,,
Queen's University,"Ciccarelli, Gabby",Explosion Physics and Prevention Laboratory,"Fundamental combustion studies, mainly dealing with high speed combustion phenomenon as well as novel internal combustion engine development","NSERC (Engage Plus Grants Program): Natural Gas Use in a Diesel Engine - Methane Emission Testing.
NSERC (Interaction Grants Program): Discussion of Potential DME/Methanol Engine Research Collaboration. 
NSERC (Engage Grants Program): DME-Methanol Fueled RCCI Engine Testing and Development.
NSERC (Discovery Grants Program): Study of Explosive Physics.",Internal combustion engines,Vehicle design,Injury Prevention,,,,,,,,,,,,,,,,x,x,,,,,Err:507,,,,,,,x
Queen's University,"Cordy, James",NECSIS,"Ultra-large-scale computing, compiler construction, software development.",,Software,,,,,,,,,,,,,,,,,,,,,,,,Err:507,,,,x,,,
Queen's University,"Crudden, Cathleen",Institute for Transformative Bio-Molecules (WPI-ITbM),"Materials chemistry, asymmetric synthesis and catalysis. Anti-corrosive coatings with applications in the automotive industry. ","Ontario Research Fund - Infrastructure: A Molecular Approach to Surface Functionalization: From Automotive to Biomedical Applications.
Canadian Foundation for Innovation: A Molecular Approach to Surface Functionalization:  From Automotive to Biomedical Applications.
NSERC (Discovery Grants Program): Organic Synthesis and Materials Chemistry via Catalytic Organoborane Chemistry.
NSERC (Strategic Projects): Supported Catalysts for Sustainable Water Oxidation: Completing the Cycle for Generation of Hydrogen from Water. 
NSERC (Collaborative Research and Training Experience): CREATE Training Program in Novel Chiral Materials: An International Effort in Research and Education. ",Nanotechnology,Polymers and composite materials,,,,,,,,,,,,,,,,,,,,,x,,Err:507,x,,,,,,
Queen's University,"Daymond, Mark",Reactor Materials Testing Laboratory (RMTL),"Micromechanisms of deformation in metals, ceramics and composites, advanced scanning techniques for materials research.","Canada Research Chair in Nuclear Materials and Mechanics of Materials 
NSERC-UNENE Industrial Research Chair in Nuclear Materials 
Ontario Research Fund - Infrastructure: High resolution three dimensional imaging of the structure of materials during in situ deformation.
NSERC/NRCan/AECL (Generation IV Energy Technologies Program): Impact of Irradiation on Properties of In-Core Pressure Boundary Material for SCWR.
NSERC (Discovery Grants Program): Effect of Crystallographic Anisotropy and Irradiation on Fatigue and Fracture of Metals.",Stress and fracture,Lightweight metals,Polymers and composite materials,,,,,,,,,,,,,,,,,,x,,,,Err:507,x,,,,x,,
Queen's University,"Diak, Bradley","Micro-Mechanical Testing Laboratory
Hi-Intensity X-Ray Laboratory","Quantifying, understanding, and controlling internal structural phenomena in light-weight alloy systems,  by developing experimental and theoretical methods to predict and improve materials performance in engineering applications.",NSERC (Discovery Grants Program): Deformation Response of Oriented Crystalline Aggregates: Experiment and Theory. ,Lightweight metals,Forming and joining,,,,,,,,,,,,,x,,,,,,x,,,,Err:507,,,,,,,
Queen's University,"Dingel, Juergen","NECSIS
GM R&D Centre (Warren, MI)","Software engineering, quality assurance, formal methods, safety, model-driven engineering, model-based systems engineering. Assessing how the correctness, reliability, safety, and security requirements expressed in development standards such as ISO 26262 be ensured and demonstrated? ",,Software,,,,,,,,,,,,,,,,,,,,,,,,Err:507,,,,x,,,
Queen's University,"Fallah, Vahid","Laser Additive Manufacturing Lab
Queen's Ultrafast and Non-Linear Optics Laboratory
Laboratory for Power Processing and Additive Manufacturing of Advanced Materials (McGill)
ALCERECO Inc. Casting Facility
Reactor Materials Testing Lab","Developing and processing of high-performance, light weight aluminum alloys for aerospace and automotive industries; metal additive manufacturing, enhancing design/control and optimizing starting materials (powders) to boost product quality and manufacturability.",,Lightweight metals,Industrial processes,,,,,,,,,,,,,,,,x,,,x,,,,Err:507,,,,,,,
Queen's University,"Fraser, James",Queen's Ultrafast and Non-Linear Optics Laboratory,Applications of optics to solve real world problems in metal-based manufacturing.,,Industrial processes,Lightweight metals,,,,,,,,,,,,,,,,x,,,x,,,,Err:507,,,,,,,
Queen's University,"Jain, Praveen",Center for Energy and Power Electronics Research (ePOWER),"Digital control of power electronics, power electronics applications in electric vehicles (EVs), smart grid technology, high power DC/DC and AC/DC converters in EVs, digital control in EVs.","Canada Research Chair in Power Electronics
Former Canada Research Chair in Telecom Power Electronics 
NSERC (Discovery Grants Program): Power Electronics Converters for Electric Vehicles.
Canadian Foundation for Innovation: Engineering a Smart Microgrid Test Platform.
NSERC (Strategic Projects): New Power Converters for Energy Storage Systems. 
NSERC (Collaborative Research and Development Grants): GaN Power Electronics Converters for Hybrid Renewable Energy systems. ",Electronics,Hybrid and electric vehicles,Transportation and charging,,,,,,,,,,,x,,,x,,,,,,,,Err:507,,,,,,x,
Queen's University,"Jerkiewicz, Gregory",Surface and Materials Electrochemistry and Electrocatalysis Laboratory,"Electrochemistry, electrocatalysis, materials science, nanomaterials, corrosion, fuel cells, water electrolysis, hydrogen energy, hydrogen electrochemistry, platinum, nickel.",,Nanotechnology,Coatings and corrosion,Batteries and fuel cells,,,,,x,,x,,,,,,,,,,,,,x,,Err:507,,,,,,,
Queen's University,"Jeswiet, Jack",Metal Processing Laboratory,"Metal forming (primarily single point incremental forming), life cycle engineering and recycling (automotive lithium ion batteries).","NSERC (Discovery Grants Program): Research into Sheet Metal Forming, Friction, Sustainable Manufacturing and Design. ",Lightweight metals,Forming and joining,Batteries and fuel cells,,,,,x,,,,,,,x,,,,,,x,,,,Err:507,,,,,,,
Queen's University,"Kim, Il Yong",Structural and Multidisciplinary Systems Design Lab (SMSD),"Automotive and hybrid vehicle design, computer aided engineering for mechanical systems design, lithium-ion battery temperature control for electric vehicles, zero emissions vehicle chassis design.","NSERC (Automotive Partnership Canada): Multi-material and multi-joint topology optimization for automotive lightweight design.
NSERC (Discovery Grants Program): Multi-Material Lightweight Design Considering Manufacturability.
Ontario Research Fund - Infrastructure: Multidisciplinary Analysis and Design of Innovative Biomechanical and Automotive Systems.
NSERC (Interaction Grants Program): CAE (Computer-Aided Engineering) for Structural Design in Aerospace and Biomechanics.",Vehicle design,Hybrid and electric vehicles,Batteries and fuel cells,Lightweight metals,,,,x,,,,,,,,,x,,,,x,,,,Err:507,,,,,,,x
Queen's University,"Krstic, Vladimir",Advanced Ceramics and Nanomaterials,"High dielectric constant, high capacitance ceramics for solid state batteries and devices for electric energy storage. These are the devices that operate without liquid electrolyte, can store large amount of electricity and can be fully charged in minutes as opposed to hours.  ",,Batteries and fuel cells,,,,,,,x,,,,,,,,,,,,,,,,,Err:507,,,,,,,
Queen's University,"Lai, Yongjun","MEMS Lab
Human Mobility Research Centre","MEMS, Advanced sensor design and implementation, instrumentation, mechatronics, biomedical engineering, advanced manufacturing, microsensors","Ontario Research Fund - Infrastructure: Infrastructure for MEMS/NEMS dynamic testing.
NSERC (Discovery Grants Program): Advancing Dynamic MEMS for In-Situ Biosensing. ",Nanotechnology,Sensors,,,,,,,,,,,,,,,,,,,,,x,,Err:507,,,x,,,,
Queen's University,"Peppley, Brant",Fuel Cell Research Centre,"Fuel cells, heterogenous catalysis, reaction engineering, hydrogen production, bio-energy.","Ontario Research Fund - Excellence: Ontario Fuel Cell Research and Innovation Network: Realising The Full Benefits of Fuel Cell Power in Ontario.
Ontario Research Fund - Excellence: Fuel Cell Research and Innovation Centre (collaboration with Royal Military College).
NSERC (Discovery Grants Program):  High Performance Fuel Processor Development for Fuel Cell Systems.
NSERC (Engage Plus Grants Program):  Implementing kinetics for state of the art catalysts into a comprehensive numerical model for a dry reforming process.",Batteries and fuel cells,Alternative fuels,,,,x,,x,,,,,,,,,,,,,,,,,Err:507,,,,,,,
Queen's University,"Pharoah, J.G.",Fuel Cell Research Centre,"Polymer electrolyte fuel cells and solid oxide fuel cells, transport modelling in fuel cells.",No NSERC. (Since 2015),Batteries and fuel cells,,,,,,,x,,,,,,,,,,,,,,,,,Err:507,,,,,,,
Queen's University,"Strong, David",Integrated Learning Centre,"Design methodology and techniques, hybrid vehicle battery optimization.",,Vehicle design,Hybrid and electric vehicles,,,,,,,,,,,,,,,x,,,,,,,,Err:507,,,,,,,x
Queen's University,"Zak, Gene",Rapid Laminated Tooling Laboratory,"Laser welding of plastics, rapid tooling and prototyping, producing functional parts from laminations of thin aluminum sheets.",No NSERC.,Forming and joining,Vehicle design,Lightweight metals,,,,,,,,,,,,x,,,,,,x,,,,Err:507,,,,,,,x
Queen's University,"Zulkernine, Mohammad",Queen's Reliable Software Technology Laboratory,Defending connected and autonomous vehicles from attacks; connecting vehicles with mobile devices; cloud and internet security; vehicle operating systems (OS).,Canada Research Chair in Software Reliability and Security,Connected vehicles,Networks and security,Autonomy and AI,,,,x,,,,x,,,,,,,,,,,,,x,Err:507,,,,,,,
Royal Military College,"Bates, Philip",Unknown.,"Polymer welding (vibration, laser, resistance welding), polymer and composite processing, long/continuous fibre reinforced thermoplastics, thermoplastic application development.","Ontario Research Fund - Infrastructure: Quasi-Simultaneous Laser Welding System.
NSERC (Discovery Grants Program): Modelling laser transmisson welding of thermoplastic polymers and composites.",Polymers and composite materials,Forming and joining,,,,,,,,,,,,,x,,,,,,,,,,Err:507,x,,,,,,
Ryerson University,Ahmed Shaker AbdElrahman,Communications and Signal Processing Applications Lab (CASPAL),"LIDAR, Image processing, 3D visualization, remote sensing, image analysis and data fusion, remote sensing and GIS integration.",,Autonomy and AI,Sensors,,,,,x,,,,,,,,,,,,,,,,,,Err:507,,,x,,,,
Ryerson University,Alex Ferworn,Program in Disaster and Emergency Management,"Autonomy and autonomous agents, intelligent image/video processing",,Autonomy and AI,,,,,,x,,,,,,,,,,,,,,,,,,Err:507,,,,,,,
Ryerson University,"Awadallah, Mohamed",Centre for Urban Energy,"Motor drives, smart grids, energy storage.",No NSERC.,Transportation and charging,,,,,,,,,,,,,,,,,,,,,,,,Err:507,,,,,,x,
Ryerson University,Bala Venkatesh,"Power and Energy Analysis Research Lab
Centre for Urban Energy","Energy storage, smart grids, power systems analysis and optimization, optimal charging scheduling for electric vehicles.",,Transportation and charging,Hybrid and electric vehicles,,,,,,,,,,,,,,,x,,,,,,,,Err:507,,,,,,x,
Ryerson University,Bhanu Opathella,Centre for Urban Energy,"Energy storage, microgrids, smart grids, electric vehicles and power grids",,Transportation and charging,,,,,,,,,,,,,,,,,,,,,,,,Err:507,,,,,,x,
Ryerson University,"Bhole, Sanjiwan",Unknown.,"Automotive sheet steel welding, biomaterials, high strength low alloy steel, nanomaterials.",NSERC (Discovery Grants Program): Characterization and modeling in light alloys and nano-bainitic steels. ,High strength steel,Biocomposites,Lightweight metals,Nanotechnology,,,,,x,,,,,,,x,,,,,x,,x,,Err:507,,,,,,,
Ryerson University,Bilal Farooq,Civil Engineering,"Travel demand modelling, real time urban sensing, transportation systems simulation, real-time urban sensing, disruptive technologies and transportation services (ride hailing, autonomous vehicles)",,Transportation and charging,,,,,,,,,,,,,,,,,,,,,,,,Err:507,,,,,,x,
Ryerson University,"Chen, Daolun",Unknown.,"Biomaterials, composites, lightweight materials, microstructural characterization and testing, nanomaterials, fatigue, corrosion, welding, brazing, deformation, and physical metallurgy.",NSERC (Discovery Grants Program): Fatigue and deformation aspects of lightweight materials.,Biocomposites,Polymers and composite materials,Coatings and corrosion,Stress and fracture,Forming and joining,,,,x,x,,,,,x,,,,,,,,,,Err:507,x,,,,x,,
Ryerson University,"Chow, Joseph","Ryerson Urban Transportation Lab
Ryerson Centre for Cloud and Context-Aware Computing","Big Data -driven optimization of urban travel behaviour, real time transit modelling, using real time data to visualize travel demand.","Canada Research Chair in Transportation Systems Engineering
Ontario Research Fund - Infrastructure: Testbed for Cyber-Physical Urban Logistics System.
NSERC (Discovery Grants Program): Multimodal Systems Design with Network Interactions.",Transportation and charging,,,,,,,,,,,,,,,,,,,,,,,,Err:507,,,,,,x,
Ryerson University,"Dworkin, Seth",NSERC CREATE Program in Clean Combustion Engines.,"Vehicle emissions, biofuels and combustion emissions, alternative energy systems, and sustainable energy, high performance computing to simulate combustion.","Canada Research Chair in High Performance Computing for Sustainable Energy
NSERC (Discovery Grants Program): Developing Numerical Models for the Combustion and Soot Fromation of Alternative Fuels.",Alternative fuels,Internal combustion engines,,,,x,,,,,,,,,,,,,,x,,,,,Err:507,,,,,,,
Ryerson University,"He, Siyuan",MEMS and Mechatronics Laboratory,"Car safety systems, environmental monitoring, micro-electro-mechanical systems (MEMS) with automotive applications.",NSERC (Discovery Grants Program): Development of MEMS (Microelectromechanical Systems) actuation technology and micro actuator based MEMS devices.,Electronics,Nanotechnology,Injury Prevention,,,,,,,,,,,x,,,,,x,,,,x,,Err:507,,,,,,,
Ryerson University,Hossein Zolfagharinia,Mechanical and Industrial Engineering,"Transportation, supply chain management, logistics, computer simulation models, data analytics",,Transportation and charging,Industrial processes,Software,,,,,,,,,,,,,,,x,,,,,,,Err:507,,,,x,,x,
Ryerson University,Jelena Misic,Computer Science,"Vehicular ad hoc network communications and security, wireless sensor network security, mobile communications.",,Networks and security,Connected vehicles,,,,,,,,,x,,,,,,,,,,,,,x,Err:507,,,,,,,
Ryerson University,Kosta Derpanis,Ryerson Vision Lab (RVL),Computer vision and sensing; virtual reality.,,Autonomy and AI,,,,,,x,,,,,,,,,,,,,,,,,,Err:507,,,,,,,
Ryerson University,Krishna Kumar,"Artificial Intelligence and Predictive Analytics for Aerospace Systems (AIPAAS) Lab 
Space Electronics Test and Integration (SETI) Laboratory
Space Systems Dynamics and Control (SSDC) Laboratory","Wireless sensors, actuators, and control systems, remote monitoring, fault detection, Big Data analytics for system performance; Internet of Things; Artificial intelligence",,Networks and security,Sensors,Software,Autonomy and AI,,,x,,,,,,,,,,,,,,,,,x,Err:507,,,x,x,,,
Ryerson University,"Macwan, Andrew",Unknown.,"Resistance spot welding of steel, weld testing, metallurgical analysis, aluminum and magnesium cladding for automotive applications.",NSERC (Postgraduate Scholarships): Evaluation of Roll Cladding for Lightweight Automotive Structural Application with Pure Aluminum and Magnesium Alloy,Forming and joining,Lightweight metals,,,,,,,,,,,,,x,,,,,,x,,,,Err:507,,,,,,,
Ryerson University,"Miri, Ali","Ryerson Centre for Cloud and Context-Aware Computing
Privacy & Big Data Institute","Security and privacy technology, computer networks and digital communication, cybersecurity, Internet of Things, connected vehicles.",,Networks and security,Connected vehicles,,,,,,,,,x,,,,,,,,,,,,,x,Err:507,,,,,,,
Ryerson University,"Ouyang, Puren",Unknown.,"Hybrid systems, mechatronics, micro and nano engineering, robotics.",No NSERC. (Since 2015),Mechatronics,Nanotechnology,,,,,,,,,,,,,,,,,,,,x,x,,Err:507,,,,,,,
Ryerson University,"Poon, Cheung",Unknown.,"Composite materials, fiber metal laminates, high temperature fatigue, laser welding, and materials characterization, lightweighting with carbon fibers and fiber metal laminates.",No NSERC. (Since 2010),Polymers and composite materials,Stress and fracture,Forming and joining,Lightweight metals,,,,,,,,,,,x,,,,,,x,,,,Err:507,x,,,,x,,
Ryerson University,"Ravindran, Comondore Ravi",Unknown.,"Casting processes for aluminum and magnesium alloys in automotives, metal casting and technology transfer. Castability, mechanical properties, life extension and recycling, for automotive and aerospace sectors. Modeling metal solidification and casting.","NSERC (College-Univeristy Idea to Innovation Grants): Thermal conductivity in aluminum cylinder heads: process optimization.
NSERC (Discovery Grants Program): Phenomenological studies on solidification and casting of aluminum and magnesium alloys.",Lightweight metals,Forming and joining,,,,,,,,,,,,,x,,,,,,x,,,,Err:507,,,,,,,
Ryerson University,Said Easa,Civil Engineering,"Road safety, traffic operations & management, Intelligent transportation systems, human factors in transportation.",,Transportation and charging,,,,,,,,,,,,,,,,,,,,,,,,Err:507,,,,,,x,
Ryerson University,"Sweet, Matthias","McMaster Institute for Transportation and Logistics
TransForm Lab","Big Data analytics for managing traffic, travel demand and behaviour, autonomous vehicles and urban planning.",,Transportation and charging,Autonomy and AI,,,,,x,,,,,,,,,,,,,,,,,,Err:507,,,,,,x,
Ryerson University,Vojislav Misic,Computer Science,"Wireless networks, cognitive communication networks, cloud computing, software engineering, safety message authentication and security in vehicular ad hoc networks.",,Networks and security,Injury Prevention,Connected vehicles,,,,,,,,x,,,,,,,,x,,,,,x,Err:507,,,,,,,
Ryerson University,"Wu, Bin",Centre for Urban Energy,"Power electronics, variable-speed drives, electric vehicle charging technology.","NSERC Industrial Research Chair in Power Electronics
Rockwell Automation Industrial Research Chair in Power Electronics and Electric Drives 
NSERC (Discovery Grants Program): High-Power Renewable Energy Systems and Medium Voltage Drives.",Electronics,Transportation and charging,,,,,,,,,,,,x,,,,,,,,,,,Err:507,,,,,,x,
Ryerson University,Xavier Fernando,Ryerson Communications Lab (RCL),"Wireless communications, wireless sensor networks, signal processing, 4G & 5G wireless systems, smart grid, vehicular communications, visible light/optical communications",,Networks and security,Sensors,Transportation and charging,Connected vehicles,,,,,,,x,,,,,,,,,,,,,x,Err:507,,,x,,,x,
Ryerson University,"Xi, Jeff",Ryerson Institute for Aerospace Design and Innovation,"Automation, manufacturing, and robotics.",NSERC (Discovery Grants Program):  Shape Adaptive Modular Reconfigurable Systems.,Autonomy and AI,Industrial processes,,,,,x,,,,,,,,,,,x,,,,,,,Err:507,,,,,,,
Ryerson University,"Zhao, Lian",Unknown.,"Wireless communications, cooperative and cognitive systems, Internet of Things, connected vehicles, EV charging scheduling, smart grid, EV-to-grid communications, transmitting safety messages between connected cars.",,Networks and security,Connected vehicles,Transportation and charging,Injury Prevention,,,,,,,x,,,,,,,,x,,,,,x,Err:507,,,,,,x,
Ryerson University   ,"Sennah, Khaled",Unknown.,"Vehicle safety, material failure, transportation infrastructure.","NSERC (Discovery Grants Program): Development of Cost-Effective Accelerated Bridge Construction in Skew and Right Alignments.
NSERC (Engage Grants Program):  Development of sustainable PL-3 bridge barrier system reinforced with special-profile GFRP bars for market competitiveness.
NSERC (Engage Plus Grants Program):  Development of Ultra-High Performance Fiber Reinforced Concrete (UHPFRC) for bridge infrastructure applications.",Injury Prevention,Transportation and charging,,,,,,,,,,,,,,,,,x,,,,,,Err:507,,,,,,x,
University of Guelph,"Ashlock, Dan",,Computational intelligence with applications including optimizing automotive parts manufacturing line efficiency,,Industrial processes,,,,,,,,,,,,,,,,,x,,,,,,,Err:507,,,,,,,
University of Guelph,"Bardelcik, Alex",,"Macro and Microstructural characterization (e.g., mircrostructure, fracture, damage, strain, rate senstivity, elevated temperature behaviour) of novel and conventional metals used in automotive lightweighting and structural/energy applications, respectively; the effect multi-phase interaction on material preformance; and advanced finite modelling of metal deformation processes; warm forming and hot stamping of aluminum alloys; characterization of multi-phase steels.",,Stress and fracture,Lightweight metals,Forming and joining,High strength steel,,,,,,,,,,,x,x,,,,,x,,,,Err:507,,,,,x,,
University of Guelph,"Biglarbegian, Mohammad",Advanced Mechatronics and Robotics Control Lab,"Intelligent control of autonomous vehicles (motion planning, navigation, control); development of advanced control systems for electric and hybrid vehicles; vehicle dynamics; design, modeling and control of mechatronic systems; and novel vehicle powerplant technology integration.",,Control,Autonomy and AI,Transportation and charging,Vehicle design,Mechatronics,,x,,,,,x,,,,,,,,,,x,,,Err:507,,,,,,x,x
University of Guelph,"Chen, Aicheng","Electrochemical Technology Centre
Electrochemistry and Nanoscience Lab
The Nanoscience Facility
The Advanced Analysis Centre","The development of advanced nanomaterials for hydrogen production, hydrogen storage, energy storage and fuel cell applications",,Nanotechnology,Batteries and fuel cells,,,,,,x,,,,,,,,,,,,,,,x,,Err:507,,,,,,,
University of Guelph,"Clemmer, Ryan",,Developing a mobile power plant using a novel fuel cell processor and solid oxide fuel cell to convert gasoline into electricity more efficiently than traditional internal combustion engines; characterization and processing of metal-ceramic composites,,Batteries and fuel cells,Polymers and composite materials,,,,,,x,,,,,,,,,,,,,,,,,Err:507,x,,,,,,
University of Guelph,"Cojocaru, Monica",,Efficiency in Highway Driving: An Agent-Based Model of Driving Behaviour from a System Design Viewpoint.,,Transportation and charging,,,,,,,,,,,,,,,,,,,,,,,,Err:507,,,,,,x,
University of Guelph,"Defersha, Fantahun",Unknown.,"Manufacturing systems analysis, life cycle analysis of biocomposite materials, manufacturing systems scheduling and optimization including automotive manufacturing.",,Industrial processes,Biocomposites,,,,,,,x,,,,,,,,,x,,,,,,,Err:507,,,,,,,
University of Guelph,"Deiab, Ibrahim","School of Engineering, Advanced Manufacturing Lab (AML)",Materials and manufacturing processes related to automobiles; modeling of machining processes; machinability of difficult-to-cut materials for auto and aerospace e.g. metal matrix composites (MMC) and titanium alloys,,Industrial processes,Forming and joining,Lightweight metals,,,,,,,,,,,,x,,,x,,,x,,,,Err:507,,,,,,,
University of Guelph,"Elsayed, Abdallah",,Casting and solidification of light alloys; characterization of metal alloys; in-situ neutron diffraction for solidification and phase analysis studies; molten metal treatment and processing; defect and inclusion analysis of light alloys.,,Lightweight metals,,,,,,,,,,,,,,,,,,,,x,,,,Err:507,,,,,,,
University of Guelph,"Gadsden, Andrew","School of Engineering, Intelligent Control & Estimation Lab (ICE)",Clean automotive technologies; electric motors and powertrains; battery modelling; autonomous driving; and intelligent condition monitoring of electric vehicles.,,Batteries and fuel cells,Powertrain,Autonomy and AI,Hybrid and electric vehicles,Electronics,,x,x,,,,,,x,,,x,,,,,,,,Err:507,,x,,,,,
University of Guelph,"Gregori, Stefano",Intelligent Systems Laboratory; Bioproducts Discovery & Development Centre,"Design, analysis and characterization of integrated circuits, interfaces and sensors with analog and digital applications, with a special focus on 3D printable electronics and “smart” biobased films, low-power integrated nano-scale systems for reconfigurable multi-standard terminals, energy harvesters, power microconverters and sensors; and bio-based carbon, carbon-functionalized cellulose fibres and polymer nanocomposites to build electrically conductive and insulating layers for energy storage (capacitors) and harvesting (mechanically-variable capacitors); security measures for smart computer chips.",,Electronics,Sensors,Biocomposites,Batteries and fuel cells,,,,x,x,,,,,x,,,,,,,,,,,Err:507,,,x,,,,
University of Guelph,"Mahmud, Shohel",,Electric vehicle battery thermal management; thermal battery and chlorofluorocarbon-free cabin cooling/heating systems; magnetorheological braking/damping systems; and automobile exhaust heat recovery systems.,,Batteries and fuel cells,Internal combustion engines,,,,,,x,,,,,,,,,,,,x,,,,,Err:507,,,,,,,
